layer,Cota,Cota_MDE_R,Dif_MDE_Ra,UnidadPaisaje
RTK INA,5.063,4.47134,-0.592,Humedales de fajas de espiras del Parana y sus distributarios
RTK INA,1.905,1.92007,0.015,Humedales de la planicie deltaica superior
RTK INA,1.355,1.641,0.286,Humedales de la planicie deltaica superior
RTK INA,2.27,1.64869,-0.621,Humedales de la planicie deltaica superior
RTK INA,1.9,1.59749,-0.303,Humedales del Delta frontal
RTK INA,1.658,1.58243,-0.076,Humedales del Delta frontal
RTK INA,2.177,1.77143,-0.406,Humedales del Delta frontal
RTK INA,2.124,1.7657,-0.358,Humedales del Delta frontal
RTK INA,2.398,1.03679,-1.361,Humedales del Delta frontal
RTK INA,2.298,1.68237,-0.616,Humedales del Delta frontal
RTK INA,2.056,1.57761,-0.478,Humedales del Delta frontal
RTK INA,1.98,1.80776,-0.172,Humedales de la planicie deltaica superior
RTK INA,2.008,1.18314,-0.825,Humedales de la planicie deltaica superior
RTK INA,1.968,2.69688,0.729,Humedales del Delta frontal
Puntos IGN,10,5.2048,-4.795,Humedales de los relieves de Ibicuy
Puntos IGN,10,5.00105,-4.999,Humedales de los relieves de Ibicuy
Puntos IGN,10,5.21041,-4.79,Humedales de los relieves de Ibicuy
Puntos IGN,10,4.35002,-5.65,Humedales de los relieves de Ibicuy
Puntos IGN,10,5.6506,-4.349,Humedales de los relieves de Ibicuy
Puntos IGN,6.4,4.71404,-1.686,Humedales de Crestas de Playa
Puntos IGN,5.5,4.72913,-0.771,Humedales de Crestas de Playa
Puntos IGN,5.9,4.79208,-1.108,Humedales de las grandes lagunas de Victoria
Puntos IGN,6.6,4.93149,-1.669,Humedales de las grandes lagunas de Victoria
Puntos IGN,6.6,5.08511,-1.515,Humedales de las grandes lagunas de Victoria
Puntos IGN,4.9,4.71007,-0.19,Humedales de Crestas de Playa
Puntos IGN,4.2,4.91693,0.717,Humedales de Crestas de Playa
Puntos IGN,6.3,5.29177,-1.008,Humedales de Crestas de Playa
Puntos IGN,6.4,5.17982,-1.22,Humedales de los lobulos deltaicos del Holoceno Medio_Victoria
Puntos IGN,6.8,5.23286,-1.567,Humedales de los lobulos deltaicos del Holoceno Medio_Victoria
Puntos IGN,6.3,5.59388,-0.706,Humedales de los lobulos deltaicos del Holoceno Medio_Victoria
Puntos IGN,6,5.20673,-0.793,Humedales de Crestas de Playa
Puntos IGN,5.3,5.02971,-0.27,Humedales de los lobulos deltaicos del Holoceno Medio_Victoria
Puntos IGN,5.8,5.06619,-0.734,Humedales de los lobulos deltaicos del Holoceno Medio_Victoria
Puntos IGN,5.9,5.17515,-0.725,Humedales de los lobulos deltaicos del Holoceno Medio_Victoria
Puntos IGN,6,5.09187,-0.908,Humedales de los lobulos deltaicos del Holoceno Medio_Victoria
Puntos IGN,5.8,4.86114,-0.939,Humedales de los lobulos deltaicos del Holoceno Medio_Victoria
Puntos IGN,6.1,4.98336,-1.117,Humedales de Crestas de Playa
Puntos IGN,5.5,4.88394,-0.616,Humedales de Crestas de Playa
Puntos IGN,5.4,4.81195,-0.588,Humedales de los lobulos deltaicos del Holoceno Medio_Victoria
Puntos IGN,5.7,5.23718,-0.463,Humedales de las grandes lagunas de Victoria
Puntos IGN,5.6,5.29494,-0.305,Humedales de las grandes lagunas de Victoria
Puntos IGN,5.1,4.66434,-0.436,Humedales de las grandes lagunas de Victoria
Puntos IGN,4.8,4.74105,-0.059,Humedales de las grandes lagunas de Victoria
Puntos IGN,5,4.77276,-0.227,Humedales de las grandes lagunas de Victoria
Puntos IGN,5.4,4.80705,-0.593,Humedales de las grandes lagunas de Victoria
Puntos IGN,5,4.85515,-0.145,Humedales de las grandes lagunas de Victoria
Puntos IGN,6.5,5.70784,-0.792,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
