layer,Cotas,Cota_MDERa,Dif_MDERaf
Puntos IGN,2,1.44832,-0.552
Puntos IGN,1.7,1.23689,-0.463
Puntos IGN,8.5,6.58852,-1.911
Puntos IGN,4.6,5.23529,0.635
Puntos IGN,2.7,1.68307,-1.017
Puntos IGN,2.1,1.96818,-0.132
Puntos IGN,2.5,2.0568,-0.443
Puntos IGN,2.8,2.15971,-0.64
Puntos IGN,2.3,1.7748,-0.525
Puntos IGN,2.3,1.84538,-0.455
Puntos IGN,2.9,1.91942,-0.981
Puntos IGN,2.3,1.78351,-0.516
Puntos IGN,2.9,1.88145,-1.019
Puntos IGN,3,1.85092,-1.149
Puntos IGN,1.7,1.82869,0.129
Puntos IGN,1.8,1.91806,0.118
Puntos IGN,1.9,1.55293,-0.347
Puntos IGN,2,1.696,-0.304
Puntos IGN,3.9,2.12284,-1.777
Puntos IGN,1.7,1.30598,-0.394
Puntos IGN,1.3,1.63545,0.335
Puntos IGN,1.5,1.6835,0.184
Puntos IGN,1.4,1.71745,0.317
Puntos IGN,2.1,1.53763,-0.562
Puntos IGN,1.3,1.48568,0.186
Puntos IGN,1.8,1.58202,-0.218
Puntos IGN,2.1,1.4905,-0.61
Puntos IGN,1.4,1.25722,-0.143
Puntos IGN,1.8,1.18756,-0.612
Puntos IGN,1.6,1.38437,-0.216
Puntos IGN,1.6,1.34557,-0.254
Puntos IGN,1.6,1.33757,-0.262
Puntos IGN,1.6,2.41407,0.814
Puntos IGN,1.8,2.09248,0.292
Puntos IGN,1.8,1.47385,-0.326
Puntos IGN,1.6,2.01484,0.415
Puntos IGN,2,2.95726,0.957
Puntos IGN,2.1,2.17208,0.072
Puntos IGN,3.1,2.87481,-0.225
Puntos IGN,3,2.67591,-0.324
Puntos IGN,1.5,2.30511,0.805
Puntos IGN,1.6,2.69589,1.096
Puntos IGN,2.7,2.90436,0.204
Puntos IGN,2,2.71736,0.717
Puntos IGN,1.7,2.09296,0.393
Puntos IGN,1.6,2.05179,0.452
Puntos IGN,1.9,2.63768,0.738
Puntos IGN,1.9,2.5226,0.623
Puntos IGN,1.6,2.74059,1.141
Puntos IGN,1.8,1.64363,-0.156
Puntos IGN,1.8,1.67177,-0.128
Puntos IGN,1.2,1.55285,0.353
Puntos IGN,2.6,1.77012,-0.83
Puntos IGN,2.6,1.71132,-0.889
Puntos IGN,2.2,2.06581,-0.134
Puntos IGN,1.6,1.86607,0.266
Puntos IGN,1.8,1.66296,-0.137
Puntos IGN,1.7,2.00964,0.31
Puntos IGN,2.1,1.59367,-0.506
Puntos IGN,1.9,1.93061,0.031
Puntos IGN,3.3,3.16437,-0.136
Puntos IGN,2.5,2.02753,-0.472
Puntos IGN,3.2,1.91792,-1.282
Puntos IGN,2.46,2.72543,0.265
Puntos IGN,2.6,1.75998,-0.84
Puntos IGN,2.3,2.02931,-0.271
Puntos IGN,2.4,2.86709,0.467
Puntos IGN,2.6,2.51217,-0.088
Puntos IGN,2.6,2.6424,0.042
Puntos IGN,2.4,1.99825,-0.402
Puntos IGN,1.9,2.09827,0.198
Puntos IGN,2.8,2.7356,-0.064
Puntos IGN,3,2.51733,-0.483
Puntos IGN,3,3.16491,0.165
Puntos IGN,2.4,1.90197,-0.498
Puntos IGN,2.6,1.70041,-0.9
Puntos IGN,2.8,2.72541,-0.075
Puntos IGN,1.9,2.92351,1.024
Puntos IGN,2.6,2.69838,0.098
Puntos IGN,1.9,2.17243,0.272
Puntos IGN,2.8,2.07332,-0.727
Puntos IGN,3.3,2.04935,-1.251
Puntos IGN,1.77,2.54005,0.77
Puntos IGN,2.3,2.80907,0.509
Puntos IGN,2.7,1.84153,-0.858
Puntos IGN,2.7,2.0055,-0.695
Puntos IGN,2.7,1.84032,-0.86
Puntos IGN,2.6,2.51024,-0.09
Puntos IGN,2.2,1.75191,-0.448
Puntos IGN,2.8,1.39728,-1.403
Puntos IGN,2.7,1.93923,-0.761
Puntos IGN,2.7,2.95089,0.251
Puntos IGN,2,1.62087,-0.379
Puntos IGN,2.2,2.04046,-0.16
Puntos IGN,2.4,1.82391,-0.576
Puntos IGN,1.9,1.9483,0.048
Puntos IGN,1.6,1.36902,-0.231
Puntos IGN,1.4,1.52912,0.129
Puntos IGN,1.6,1.64902,0.049
Puntos IGN,1.6,1.4556,-0.144
Puntos IGN,1.5,2.11946,0.619
Puntos IGN,1.7,1.38836,-0.312
Puntos IGN,1.6,1.55556,-0.044
Puntos IGN,1.6,1.70249,0.102
Puntos IGN,2.2,1.23198,-0.968
Puntos IGN,1.3,0.8901,-0.41
Puntos IGN,1.8,1.29064,-0.509
Puntos IGN,2.6,1.88153,-0.718
Puntos IGN,1.2,0.9821,-0.218
Puntos IGN,1.4,1.30375,-0.096
Puntos IGN,1.6,1.99423,0.394
Puntos IGN,1.6,0.68419,-0.916
Puntos IGN,1.9,0.81433,-1.086
Puntos IGN,2,0.97561,-1.024
Puntos IGN,1.8,1.68846,-0.112
Puntos IGN,1.4,1.02183,-0.378
Puntos IGN,1.5,1.91528,0.415
Puntos IGN,1.5,1.27016,-0.23
Puntos IGN,1.2,1.27121,0.071
Puntos IGN,1.2,1.25915,0.059
Puntos IGN,2.9,1.43849,-1.462
Puntos IGN,2.1,1.02949,-1.071
Puntos IGN,1.7,1.61636,-0.084
Puntos IGN,1.4,2.07894,0.679
Puntos IGN,1.6,1.26929,-0.331
Puntos IGN,2.3,1.10846,-1.192
Puntos IGN,1.1,1.60209,0.502
Puntos IGN,1.8,1.40122,-0.399
Puntos IGN,1.3,1.72845,0.428
Puntos IGN,1.6,1.57099,-0.029
Puntos IGN,2.4,1.41492,-0.985
Puntos IGN,1.9,1.3648,-0.535
Puntos IGN,2,1.34917,-0.651
Puntos IGN,2.3,1.32466,-0.975
Puntos IGN,1.6,1.61123,0.011
Puntos IGN,1.6,1.2107,-0.389
RTK INA,1.355,1.22597,-0.129
RTK INA,2.27,2.07504,-0.195
RTK INA,5.063,4.57287,-0.59
RTK INA,1.905,2.24279,0.338
RTK INA,2.177,1.71715,-0.46
RTK INA,2.124,1.78088,-0.343
RTK INA,1.9,1.53852,-0.361
RTK INA,1.658,1.59044,-0.068
RTK INA,2.056,1.31516,-0.741
RTK INA,1.98,1.58064,-0.399
RTK INA,2.398,0.78582,-1.612
RTK INA,2.298,1.63402,-0.664
Puntos IGN,10,9.22921,-0.771
Puntos IGN,10,5.08806,-4.912
RTK INA,2.008,1.22934,-0.779
RTK INA,1.968,2.73725,0.769
Puntos IGN,10,7.12,-2.88
Puntos IGN,6.4,4.57713,-1.823
Puntos IGN,10,6.9421,-3.058
Puntos IGN,10,7.90113,-2.099
Puntos IGN,6.6,4.98652,-1.613
Puntos IGN,6.6,5.05771,-1.542
Puntos IGN,5.5,4.74209,-0.758
Puntos IGN,5.9,4.84434,-1.056
Puntos IGN,6.3,5.38218,-0.918
Puntos IGN,6.4,5.10143,-1.299
Puntos IGN,4.9,4.61138,-0.289
Puntos IGN,4.2,4.57438,0.374
Puntos IGN,6,5.23447,-0.766
Puntos IGN,5.3,4.87635,-0.424
Puntos IGN,6.8,5.12422,-1.676
Puntos IGN,6.3,5.73083,-0.569
Puntos IGN,6,5.3886,-0.611
Puntos IGN,5.8,5.02503,-0.775
Puntos IGN,5.8,5.19603,-0.604
Puntos IGN,5.9,5.50506,-0.395
Puntos IGN,5.4,4.8096,-0.59
Puntos IGN,5.7,5.15215,-0.548
