layer,Cota,Cota_MDE_R,Dif_MDE_Ra,UnidadPaisaje
Puntos IGN,9.6,5.38551,-4.214,Humedales de albardones y derrames del Parana
Puntos IGN,8.1,5.64458,-2.455,Humedales de albardones y derrames del Parana
Puntos IGN,7.6,6.73399,-0.866,Humedales de albardones y derrames del Parana
Puntos IGN,8.4,6.60297,-1.797,Humedales de albardones y derrames del Parana
Puntos IGN,9.2,6.68147,-2.519,Humedales de albardones y derrames del Parana
Puntos IGN,9,7.47655,-1.523,Humedales de albardones y derrames del Parana
Relevamiento Victoria,7.307,5.95471,-1.352,Humedales de albardones y derrames del Parana
Relevamiento Victoria,6.616,7.41156,0.796,Humedales de albardones y derrames del Parana
Relevamiento Victoria,7.616,5.7157,-1.9,Humedales de albardones y derrames del Parana
Relevamiento Victoria,7.162,5.71009,-1.452,Humedales de albardones y derrames del Parana
Relevamiento Victoria,6.437,5.33782,-1.099,Humedales de albardones y derrames del Parana
Relevamiento Victoria,9.059,7.20181,-1.857,Humedales de albardones y derrames del Parana
Relevamiento Victoria,9.532,7.36208,-2.17,Humedales de albardones y derrames del Parana
Relevamiento Victoria,9.578,7.43414,-2.144,Humedales de albardones y derrames del Parana
Relevamiento Victoria,9.135,7.99251,-1.142,Humedales de albardones y derrames del Parana
Relevamiento Victoria,6.077,7.08582,1.009,Humedales de albardones y derrames del Parana
Relevamiento Victoria,7.972,6.84973,-1.122,Humedales de albardones y derrames del Parana
Relevamiento Victoria,7.99,6.51835,-1.472,Humedales de albardones y derrames del Parana
Puntos IGN,4.4,4.76423,0.364,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,5.3,4.95954,-0.34,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,7.2,5.15439,-2.046,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,5.2,5.17827,-0.022,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,5.5,5.18663,-0.313,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,6.5,5.19495,-1.305,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,5.6,5.11316,-0.487,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,5.1,6.71277,1.613,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,6.1,3.74377,-2.356,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,4.4,4.76411,0.364,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,6.6,4.26933,-2.331,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,5.8,4.23522,-1.565,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,7.2,4.301,-2.899,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,4.8,4.72364,-0.076,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,5,4.50149,-0.499,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,5.4,4.57064,-0.829,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,4.2,4.24865,0.049,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,4.4,4.26523,-0.135,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,4.5,4.30321,-0.197,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,4.5,5.01165,0.512,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,4.9,4.78215,-0.118,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,5,4.60994,-0.39,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,4.7,4.4222,-0.278,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,4.6,4.08698,-0.513,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,3.9,4.39837,0.498,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,4.8,3.96206,-0.838,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,3.9,4.28233,0.382,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,5,4.0041,-0.996,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,4.9,4.83264,-0.067,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,5.1,4.86501,-0.235,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,4.8,4.85332,0.053,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,3.4,4.45957,1.06,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,4.3,4.47548,0.175,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,4.4,4.60941,0.209,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,4.9,4.74199,-0.158,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,4.8,4.65534,-0.145,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,4.7,4.54423,-0.156,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,4.6,4.68696,0.087,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,4.8,4.5001,-0.3,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,4.6,4.42756,-0.172,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,4.6,4.50592,-0.094,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,4.1,4.59563,0.496,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,8.4,5.98962,-2.41,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,5.8,5.17332,-0.627,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,4.5,5.13299,0.633,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,6.3,5.63985,-0.66,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,8.5,6.96754,-1.532,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,4.6,6.30308,1.703,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,4.5,4.15544,-0.345,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,4.6,3.96732,-0.633,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,4.5,4.43473,-0.065,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,3.9,4.25568,0.356,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,3.3,4.31788,1.018,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,4.7,4.09257,-0.607,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Puntos IGN,4,4.2352,0.235,Humedales de antiguos relieves de los rios entrerrianos en su desembocadura
Nivelación alta presición,2.04,1.32369,-0.716,Humedales de Crestas de Playa
Nivelación alta presición,2.917,1.78891,-1.128,Humedales de Crestas de Playa
Nivelación alta presición,1.88,1.35922,-0.521,Humedales de Crestas de Playa
Nivelación alta presición,2.367,1.87074,-0.496,Humedales de Crestas de Playa
Nivelación alta presición,2.213,1.29154,-0.921,Humedales de Crestas de Playa
Nivelación alta presición,2.058,1.71352,-0.344,Humedales de Crestas de Playa
Nivelación alta presición,2.763,3.44125,0.678,Humedales de Crestas de Playa
Nivelación alta presición,2.874,2.27036,-0.604,Humedales de Crestas de Playa
Nivelación alta presición,2.466,1.84417,-0.622,Humedales de Crestas de Playa
Nivelación alta presición,1.999,1.3667,-0.632,Humedales de Crestas de Playa
Nivelación alta presición,2.07,1.4516,-0.618,Humedales de Crestas de Playa
Nivelación alta presición,2.39,1.49685,-0.893,Humedales de Crestas de Playa
Nivelación alta presición,2.437,2.10065,-0.336,Humedales de Crestas de Playa
Nivelación alta presición,3.024,1.80164,-1.222,Humedales de Crestas de Playa
Nivelación alta presición,2.052,1.37017,-0.682,Humedales de Crestas de Playa
Nivelación alta presición,2.797,1.95557,-0.841,Humedales de Crestas de Playa
Nivelación alta presición,2.213,1.61281,-0.6,Humedales de Crestas de Playa
Nivelación precisión,7.866,5.113,-2.753,Humedales de Crestas de Playa
