layer,Cota,Cota_MDE_R,Dif_MDE_Ra,UnidadPaisaje
Puntos IGN,5.9,4.79208,-1.108,Humedales de las grandes lagunas de Victoria
Puntos IGN,6.6,4.93149,-1.669,Humedales de las grandes lagunas de Victoria
Puntos IGN,6.6,5.08511,-1.515,Humedales de las grandes lagunas de Victoria
Puntos IGN,5.7,5.23718,-0.463,Humedales de las grandes lagunas de Victoria
Puntos IGN,5.6,5.29494,-0.305,Humedales de las grandes lagunas de Victoria
Puntos IGN,5.1,4.66434,-0.436,Humedales de las grandes lagunas de Victoria
Puntos IGN,4.8,4.74105,-0.059,Humedales de las grandes lagunas de Victoria
Puntos IGN,5,4.77276,-0.227,Humedales de las grandes lagunas de Victoria
Puntos IGN,5.4,4.80705,-0.593,Humedales de las grandes lagunas de Victoria
Puntos IGN,5,4.85515,-0.145,Humedales de las grandes lagunas de Victoria
Puntos IGN,7.4,5.5399,-1.86,Humedales de las grandes lagunas de Victoria
Puntos IGN,6.9,5.5913,-1.309,Humedales de las grandes lagunas de Victoria
Puntos IGN,7,5.53695,-1.463,Humedales de las grandes lagunas de Victoria
Puntos IGN,6.8,5.56492,-1.235,Humedales de las grandes lagunas de Victoria
Puntos IGN,5,5.40153,0.402,Humedales de las grandes lagunas de Victoria
Puntos IGN,6.4,5.23788,-1.162,Humedales de las grandes lagunas de Victoria
Puntos IGN,6.2,5.22168,-0.978,Humedales de las grandes lagunas de Victoria
Puntos IGN,6.4,5.23472,-1.165,Humedales de las grandes lagunas de Victoria
Puntos IGN,6.6,5.34704,-1.253,Humedales de las grandes lagunas de Victoria
Puntos IGN,6.7,5.15939,-1.541,Humedales de las grandes lagunas de Victoria
Puntos IGN,6.4,5.55882,-0.841,Humedales de las grandes lagunas de Victoria
Puntos IGN,6,5.09603,-0.904,Humedales de las grandes lagunas de Victoria
Puntos IGN,5.7,4.98383,-0.716,Humedales de las grandes lagunas de Victoria
Puntos IGN,5,5.05205,0.052,Humedales de las grandes lagunas de Victoria
Puntos IGN,6.6,5.23862,-1.361,Humedales de las grandes lagunas de Victoria
Puntos IGN,4.7,4.79234,0.092,Humedales de las grandes lagunas de Victoria
Puntos IGN,3.7,5.24457,1.545,Humedales de las grandes lagunas de Victoria
Puntos IGN,5.4,4.57361,-0.826,Humedales de las grandes lagunas de Victoria
Puntos IGN,4.1,4.79569,0.696,Humedales de las grandes lagunas de Victoria
Puntos IGN,4.4,4.55985,0.16,Humedales de las grandes lagunas de Victoria
Puntos IGN,4.3,4.57036,0.27,Humedales de las grandes lagunas de Victoria
Puntos IGN,5.3,5.07093,-0.229,Humedales de las grandes lagunas de Victoria
